01;16-01-01 00:00;53.0
02;16-01-01 00:00;53.0
03;16-01-01 00:00;53.1
04;16-01-01 00:00;53.2
01;16-01-01 01:00;52.9
02;16-01-01 01:00;52.8
03;16-01-01 01:00;53.2
04;16-01-01 01:00;53.2
01;16-01-01 02:00;52.8
02;16-01-01 02:00;52.7
03;16-01-01 02:00;53.2
04;16-01-01 02:00;53.1
01;16-01-01 03:00;52.7
02;16-01-01 03:00;52.5
03;16-01-01 03:00;53.1
04;16-01-01 03:00;53.0
01;16-01-01 04:00;52.6
02;16-01-01 04:00;52.3
03;16-01-01 04:00;53.1
04;16-01-01 04:00;53.0
01;16-01-01 05:00;52.5
02;16-01-01 05:00;52.0
03;16-01-01 05:00;53.1
04;16-01-01 05:00;52.9
01;16-01-01 06:00;52.4
02;16-01-01 06:00;51.8
03;16-01-01 06:00;53.0
04;16-01-01 06:00;52.9
01;16-01-01 07:00;52.4
02;16-01-01 07:00;51.7
03;16-01-01 07:00;53.0
04;16-01-01 07:00;52.9
01;16-01-01 08:00;52.4
02;16-01-01 08:00;51.7
03;16-01-01 08:00;53.0
04;16-01-01 08:00;52.9
01;16-01-01 09:00;52.5
02;16-01-01 09:00;51.8
03;16-01-01 09:00;53.1
04;16-01-01 09:00;53.0
01;16-01-01 10:00;52.6
02;16-01-01 10:00;51.9
03;16-01-01 10:00;53.2
04;16-01-01 10:00;53.1
01;16-01-01 11:00;52.7
02;16-01-01 11:00;52.0
03;16-01-01 11:00;53.4
04;16-01-01 11:00;53.2
01;16-01-01 12:00;52.8
02;16-01-01 12:00;52.1
03;16-01-01 12:00;53.5
04;16-01-01 12:00;53.4
01;16-01-01 13:00;52.9
02;16-01-01 13:00;52.3
03;16-01-01 13:00;53.5
04;16-01-01 13:00;53.7
01;16-01-01 14:00;53.0
02;16-01-01 14:00;52.5
03;16-01-01 14:00;53.5
04;16-01-01 14:00;53.9
01;16-01-01 15:00;53.1
02;16-01-01 15:00;52.7
03;16-01-01 15:00;53.5
04;16-01-01 15:00;54.0
01;16-01-01 16:00;53.1
02;16-01-01 16:00;52.8
03;16-01-01 16:00;53.5
04;16-01-01 16:00;54.1
01;16-01-01 17:00;53.1
02;16-01-01 17:00;53.1
03;16-01-01 17:00;53.4
04;16-01-01 17:00;54.0
01;16-01-01 18:00;53.1
02;16-01-01 18:00;53.1
03;16-01-01 18:00;53.4
04;16-01-01 18:00;53.9
01;16-01-01 19:00;53.1
02;16-01-01 19:00;53.1
03;16-01-01 19:00;53.3
04;16-01-01 19:00;53.8
01;16-01-01 20:00;53.1
02;16-01-01 20:00;53.1
03;16-01-01 20:00;53.2
04;16-01-01 20:00;53.7
01;16-01-01 21:00;53.1
02;16-01-01 21:00;53.1
03;16-01-01 21:00;53.1
04;16-01-01 21:00;53.5
01;16-01-01 22:00;53.1
02;16-01-01 22:00;53.1
03;16-01-01 22:00;53.1
04;16-01-01 22:00;53.3
01;16-01-01 23:00;53.1
02;16-01-01 23:00;53.1
03;16-01-01 23:00;53.1
04;16-01-01 23:00;53.1